Symbol,Date,Close,High,Low,Open,Volume
IBM,2017-02-23,181.65,182.5,180.92,182.0,2282526
IBM,2017-02-24,181.35,181.49,179.89,180.21,3299093
IBM,2017-02-27,179.4,181.25,179.28,181.19,3691317
IBM,2017-02-28,179.82,180.63,179.35,179.38,3273420
IBM,2017-03-01,181.95,182.55,180.03,180.48,3005248
IBM,2017-03-02,180.53,181.88,180.43,181.88,2918153
IBM,2017-03-03,180.05,181.32,179.7649,180.04,1825013
IBM,2017-03-06,180.47,180.99,179.57,179.72,3203804
IBM,2017-03-07,180.38,181.29,180.1997,180.71,2977626
IBM,2017-03-08,179.45,180.95,179.3,180.75,3557396
IBM,2017-03-09,177.18,179.25,175.88,179.15,5443882
IBM,2017-03-10,177.83,179.49,177.42,178.21,3100316
IBM,2017-03-13,176.46,178.06,176.415,177.85,3482189
IBM,2017-03-14,175.72,176.82,175.211,176.18,3147497
IBM,2017-03-15,175.81,176.28,174.75,175.71,3813810
IBM,2017-03-16,177.24,179.0,176.82,178.46,4311838
IBM,2017-03-17,175.65,176.79,175.65,176.29,5920267
IBM,2017-03-20,175.7,176.18,175.14,175.65,2475875
IBM,2017-03-21,173.88,176.23,173.84,176.01,3927541
IBM,2017-03-22,174.78,175.06,172.8,174.04,3450362
IBM,2017-03-23,174.82,175.67,173.56,174.43,3739976
IBM,2017-03-24,173.83,175.5,173.39,175.12,3221672
IBM,2017-03-27,173.77,174.16,172.0937,172.69,3259023
IBM,2017-03-28,174.51,175.0,173.0,173.94,3523370
IBM,2017-03-29,173.94,174.49,173.46,174.3,3084865
IBM,2017-03-30,173.86,174.59,173.69,173.86,3168254
IBM,2017-03-31,174.14,174.95,173.69,173.98,2913509
IBM,2017-04-03,174.5,174.87,173.38,173.82,4286498
IBM,2017-04-04,174.52,174.96,173.26,173.52,3108870
IBM,2017-04-05,172.88,176.33,172.81,174.7,6238854
IBM,2017-04-06,172.45,173.47,172.25,173.47,3435363
IBM,2017-04-07,172.14,172.93,171.28,172.08,3588302
IBM,2017-04-10,171.2,172.56,171.0,172.53,3789786
IBM,2017-04-11,170.58,171.23,168.98,170.65,4891871
IBM,2017-04-12,170.66,171.2,170.02,171.04,3276921
IBM,2017-04-13,169.53,171.36,169.53,169.92,3205462
IBM,2017-04-14,169.53,169.53,169.53,169.53,0
IBM,2017-04-17,171.1,171.3,169.62,169.75,3719605
IBM,2017-04-18,170.05,171.69,169.83,170.79,6305863
IBM,2017-04-19,161.69,162.64,159.6,161.76,19283389
IBM,2017-04-20,162.3,162.4,160.5,161.32,6486809
IBM,2017-04-21,160.38,162.11,160.38,162.05,5606940
IBM,2017-04-24,160.75,161.57,160.42,161.29,5320608
IBM,2017-04-25,160.39,162.04,160.38,161.78,4858329
IBM,2017-04-26,160.06,161.1,159.89,160.53,4327991
IBM,2017-04-27,160.32,160.48,159.63,160.29,4122908
IBM,2017-04-28,160.29,160.59,159.7,160.5,4154109
IBM,2017-05-01,158.84,160.42,158.7,160.05,4934859
IBM,2017-05-02,159.1,159.49,158.64,159.44,3208234
IBM,2017-05-03,158.63,159.45,158.52,158.74,3993292
IBM,2017-05-04,159.05,159.14,158.36,158.89,4280613
IBM,2017-05-05,155.05,155.78,153.0,153.52,12517190
IBM,2017-05-08,153.03,153.47,152.2,152.8,7491055
IBM,2017-05-09,152.11,153.1,151.5552,152.6,6851963
IBM,2017-05-10,151.25,152.37,151.13,151.651,4999811
IBM,2017-05-11,150.65,151.15,149.79,151.05,5627962
IBM,2017-05-12,150.37,151.265,150.0,150.3,3715302
IBM,2017-05-15,151.51,151.83,150.4502,150.62,4233971
IBM,2017-05-16,153.68,153.99,151.66,151.66,5513690
IBM,2017-05-17,150.93,154.14,150.89,153.3,5189344
IBM,2017-05-18,150.78,151.33,150.11,150.86,3274371
IBM,2017-05-19,151.98,152.46,150.89,151.01,5643263
IBM,2017-05-22,152.64,152.84,151.5992,152.1,3302139
IBM,2017-05-23,152.03,153.68,151.92,152.57,2564503
IBM,2017-05-24,152.51,152.76,151.23,152.21,3732399
IBM,2017-05-25,153.2,153.73,152.9459,153.25,2582814
